+------------------------------------------------+-----------+
|                      Word                      | Frequency |
|                       एग                       |     3     |
|                       बत                       |     2     |
|                       पय                       |     2     |
|                       यम                       |     2     |
|                       जम                       |     3     |
|                       अन                       |     6     |
|                       सभ                       |     2     |
|                       नक                       |     2     |
|                       बर                       |     4     |
|                       बल                       |     2     |
|                     UPPSC                      |     2     |
|                      PCS                       |     2     |
|                      इनल                       |     2     |
|                      MTS                       |     2     |
|                      एडम                       |     2     |
|                       भर                       |     9     |
|                      UPSC                      |     2     |
|                       ई                        |     2     |
|                       पद                       |     11    |
|                      UGC                       |     2     |
|                      NET                       |     2     |
|                       आज                       |     2     |
